Year,Type,Country,Area,Activity,Reference
2017.0,Unprovoked,AUSTRALIA,Queensland,Spearfishing,http://sharkattackfile.net/spreadsheets/pdf_directory/2017.02.17-Dickson.pdf
2017.0,Unprovoked,USA,Florida,Swimming,http://sharkattackfile.net/spreadsheets/pdf_directory/2017.02.11-MelbourneBeach.pdf
2017.0,Provoked,BRAZIL,Pernambuco,Grabbing shark for a selfie,http://sharkattackfile.net/spreadsheets/pdf_directory/2017.02.06.b-Brazil.pdf
2017.0,Boating,SOUTH AFRICA,KwaZulu-Natal,Kayak fishing,http://sharkattackfile.net/spreadsheets/pdf_directory/2017.02.06.a-Umhlanga-kayak.pdf
2017.0,Boating,USA,South Carolina,Tagging sharks,http://sharkattackfile.net/spreadsheets/pdf_directory/2017.02.01.b-Boat.pdf
2017.0,Unprovoked,BAHAMAS,Bimini,Scuba Diving,http://sharkattackfile.net/spreadsheets/pdf_directory/2017.02.01.a-Vonk.pdf
2017.0,Unprovoked,BRAZIL,Pernambuco,Swimming,http://sharkattackfile.net/spreadsheets/pdf_directory/2017.01.24-Andrade.pdf
2017.0,Unprovoked,AUSTRALIA,Queensland,Scuba Diving,http://sharkattackfile.net/spreadsheets/pdf_directory/2017.01.21-MurrayIsland.pdf
2017.0,Unprovoked,AUSTRALIA,Queensland,Swimming,http://sharkattackfile.net/spreadsheets/pdf_directory/2017.01.13.b-Clairview.pdf
2017.0,Unprovoked,INDONESIA,Bali,Surfing,http://sharkattackfile.net/spreadsheets/pdf_directory/2017.01.09-Moore.pdf
2017.0,Unprovoked,USA,Florida,Wading,http://sharkattackfile.net/spreadsheets/pdf_directory/2017.01.05-Brevard.pdf
2017.0,Invalid,AUSTRALIA,New South Wales,Wading,http://sharkattackfile.net/spreadsheets/pdf_directory/2017.01.03-Collins.pdf
2016.0,Unprovoked,USA,Florida,Surfing,http://sharkattackfile.net/spreadsheets/pdf_directory/2016.12.27-Davis.pdf
2016.0,Unprovoked,AUSTRALIA,Western Australia,Snorkeling,http://sharkattackfile.net/spreadsheets/pdf_directory/2016.12.24-Ningaloo.pdf
2016.0,Unprovoked,SOUTH AFRICA,Western Cape Province,Surf skiing ,http://sharkattackfile.net/spreadsheets/pdf_directory/2016.12.19-Swart.pdf
2016.0,Unprovoked,AUSTRALIA,Western Australia,Free diving,http://sharkattackfile.net/spreadsheets/pdf_directory/2016.12.14-Roberts.pdf
2016.0,Unprovoked,FRENCH POLYNESIA,Tuamotos,Fishing,http://sharkattackfile.net/spreadsheets/pdf_directory/2015.12.11.b-Takapoto.pdf
2016.0,Invalid,USA,Florida,Surfing,http://sharkattackfile.net/spreadsheets/pdf_directory/2016.12.11.a-Garthwait.pdf
2016.0,Provoked,AUSTRALIA,New South Wales,Surf fishing,http://sharkattackfile.net/spreadsheets/pdf_directory/2016.12.06-Phillips.pdf
2016.0,Unprovoked,AUSTRALIA,New South Wales,Surfing,http://sharkattackfile.net/spreadsheets/pdf_directory/2016.12.01-Rowland.pdf
2016.0,Provoked,AUSTRALIA,Victoria,Fishing,http://sharkattackfile.net/spreadsheets/pdf_directory/2016.11.28-Fisherman.pdf
2016.0,Unprovoked,USA,Hawaii,Floating,http://sharkattackfile.net/spreadsheets/pdf_directory/2016.11.14-Zawacki.pdf
2016.0,Unprovoked,USA,Florida,Surfing,http://sharkattackfile.net/spreadsheets/pdf_directory/2016.10.30-Adams.pdf
2016.0,Unprovoked,USA,Florida,Surfing,http://sharkattackfile.net/spreadsheets/pdf_directory/2016.10.29-Shoup.pdf
2016.0,Unprovoked,AUSTRALIA,New South Wales,Surfing,http://sharkattackfile.net/spreadsheets/pdf_directory/2016.10.24-Fitzpatrick.pdf
2016.0,Unprovoked,USA,Hawaii,Surfing,http://sharkattackfile.net/spreadsheets/pdf_directory/2016.10.21-Hookipa.pdf
2016.0,Unprovoked,AUSTRALIA,Queensland,Surfing,http://sharkattackfile.net/spreadsheets/pdf_directory/2016.10.15-Hallam.pdf
2016.0,Unprovoked,USA,Hawaii,Snorkeling,http://sharkattackfile.net/spreadsheets/pdf_directory/2016.10.14-Maui.pdf
2016.0,Unprovoked,AUSTRALIA,New South Wales,Surfing,http://sharkattackfile.net/spreadsheets/pdf_directory/2016.10.12-SenecaRus.pdf
2016.0,Unprovoked,USA,Oregon,Surfing,http://sharkattackfile.net/spreadsheets/pdf_directory/2016.10.10-Tanner.pdf
